PRUDENT001,PRUDENT001,Scutire de plata a primelor,Invaliditate permanenta din accident,Invaliditate permanenta din accident,Diagnosticare cu cancer si tratament,Diagnosticare cu cancer si tratament,Pierderea involuntara a locului de munca,Pierderea involuntara a locului de munca
Test Case,An,Prima Anuala,Suma Asigurata,Prima Anuala,Suma Asigurata,Prima Anuala,Suma Asigurata,Prima Anuala
PRUDENT001,1,111.48,75500.00,226.56,55500.00,311.76,2000.00,384.00
PRUDENT001,2,112.92,75500.00,226.56,55500.00,340.08,2000.00,384.00
PRUDENT001,3,113.28,75500.00,226.56,55500.00,348.00,2000.00,384.00
PRUDENT001,4,113.76,75500.00,226.56,55500.00,357.00,2000.00,384.00
PRUDENT001,5,114.24,75500.00,226.56,55500.00,366.60,2000.00,384.00
PRUDENT001,6,114.72,75500.00,226.56,55500.00,376.92,2000.00,384.00
PRUDENT001,7,115.92,75500.00,226.56,55500.00,399.24,2000.00,384.00
PRUDENT001,8,116.52,75500.00,226.56,55500.00,411.96,2000.00,384.00
PRUDENT001,9,117.24,75500.00,226.56,55500.00,425.76,2000.00,384.00
PRUDENT001,10,117.96,75500.00,226.56,55500.00,441.48,2000.00,384.00
